sample_id,input_path,target_path,split,weather,source
train/1,../raw/snow/csd/Train/Snow/1.tif,../raw/snow/csd/Train/Gt/1.tif,train,snow,csd
train/10,../raw/snow/csd/Train/Snow/10.tif,../raw/snow/csd/Train/Gt/10.tif,train,snow,csd
train/100,../raw/snow/csd/Train/Snow/100.tif,../raw/snow/csd/Train/Gt/100.tif,train,snow,csd
train/1000,../raw/snow/csd/Train/Snow/1000.tif,../raw/snow/csd/Train/Gt/1000.tif,train,snow,csd
train/1001,../raw/snow/csd/Train/Snow/1001.tif,../raw/snow/csd/Train/Gt/1001.tif,train,snow,csd
train/1002,../raw/snow/csd/Train/Snow/1002.tif,../raw/snow/csd/Train/Gt/1002.tif,train,snow,csd
train/1003,../raw/snow/csd/Train/Snow/1003.tif,../raw/snow/csd/Train/Gt/1003.tif,train,snow,csd
train/1004,../raw/snow/csd/Train/Snow/1004.tif,../raw/snow/csd/Train/Gt/1004.tif,val,snow,csd
train/1005,../raw/snow/csd/Train/Snow/1005.tif,../raw/snow/csd/Train/Gt/1005.tif,val,snow,csd
train/1006,../raw/snow/csd/Train/Snow/1006.tif,../raw/snow/csd/Train/Gt/1006.tif,train,snow,csd
train/1007,../raw/snow/csd/Train/Snow/1007.tif,../raw/snow/csd/Train/Gt/1007.tif,train,snow,csd
train/1008,../raw/snow/csd/Train/Snow/1008.tif,../raw/snow/csd/Train/Gt/1008.tif,train,snow,csd
train/1009,../raw/snow/csd/Train/Snow/1009.tif,../raw/snow/csd/Train/Gt/1009.tif,train,snow,csd
train/101,../raw/snow/csd/Train/Snow/101.tif,../raw/snow/csd/Train/Gt/101.tif,train,snow,csd
train/1010,../raw/snow/csd/Train/Snow/1010.tif,../raw/snow/csd/Train/Gt/1010.tif,train,snow,csd
train/1011,../raw/snow/csd/Train/Snow/1011.tif,../raw/snow/csd/Train/Gt/1011.tif,train,snow,csd
train/1012,../raw/snow/csd/Train/Snow/1012.tif,../raw/snow/csd/Train/Gt/1012.tif,train,snow,csd
train/1013,../raw/snow/csd/Train/Snow/1013.tif,../raw/snow/csd/Train/Gt/1013.tif,train,snow,csd
train/1014,../raw/snow/csd/Train/Snow/1014.tif,../raw/snow/csd/Train/Gt/1014.tif,train,snow,csd
train/1015,../raw/snow/csd/Train/Snow/1015.tif,../raw/snow/csd/Train/Gt/1015.tif,train,snow,csd
train/1016,../raw/snow/csd/Train/Snow/1016.tif,../raw/snow/csd/Train/Gt/1016.tif,train,snow,csd
train/1017,../raw/snow/csd/Train/Snow/1017.tif,../raw/snow/csd/Train/Gt/1017.tif,train,snow,csd
train/1018,../raw/snow/csd/Train/Snow/1018.tif,../raw/snow/csd/Train/Gt/1018.tif,train,snow,csd
train/1019,../raw/snow/csd/Train/Snow/1019.tif,../raw/snow/csd/Train/Gt/1019.tif,train,snow,csd
train/102,../raw/snow/csd/Train/Snow/102.tif,../raw/snow/csd/Train/Gt/102.tif,train,snow,csd
train/1020,../raw/snow/csd/Train/Snow/1020.tif,../raw/snow/csd/Train/Gt/1020.tif,train,snow,csd
train/1021,../raw/snow/csd/Train/Snow/1021.tif,../raw/snow/csd/Train/Gt/1021.tif,train,snow,csd
train/1022,../raw/snow/csd/Train/Snow/1022.tif,../raw/snow/csd/Train/Gt/1022.tif,train,snow,csd
