sample_id,input_path,target_path,split,weather,source
test/01,../raw/fog/o_haze/# O-HAZY NTIRE 2018/hazy/01_outdoor_hazy.jpg,../raw/fog/o_haze/# O-HAZY NTIRE 2018/GT/01_outdoor_GT.jpg,test,fog,o_haze
test/02,../raw/fog/o_haze/# O-HAZY NTIRE 2018/hazy/02_outdoor_hazy.jpg,../raw/fog/o_haze/# O-HAZY NTIRE 2018/GT/02_outdoor_GT.jpg,test,fog,o_haze
test/03,../raw/fog/o_haze/# O-HAZY NTIRE 2018/hazy/03_outdoor_hazy.JPG,../raw/fog/o_haze/# O-HAZY NTIRE 2018/GT/03_outdoor_GT.JPG,test,fog,o_haze
test/04,../raw/fog/o_haze/# O-HAZY NTIRE 2018/hazy/04_outdoor_hazy.jpg,../raw/fog/o_haze/# O-HAZY NTIRE 2018/GT/04_outdoor_GT.jpg,test,fog,o_haze
test/05,../raw/fog/o_haze/# O-HAZY NTIRE 2018/hazy/05_outdoor_hazy.jpg,../raw/fog/o_haze/# O-HAZY NTIRE 2018/GT/05_outdoor_GT.jpg,test,fog,o_haze
test/06,../raw/fog/o_haze/# O-HAZY NTIRE 2018/hazy/06_outdoor_hazy.jpg,../raw/fog/o_haze/# O-HAZY NTIRE 2018/GT/06_outdoor_GT.jpg,test,fog,o_haze
test/07,../raw/fog/o_haze/# O-HAZY NTIRE 2018/hazy/07_outdoor_hazy.jpg,../raw/fog/o_haze/# O-HAZY NTIRE 2018/GT/07_outdoor_GT.jpg,test,fog,o_haze
test/08,../raw/fog/o_haze/# O-HAZY NTIRE 2018/hazy/08_outdoor_hazy.jpg,../raw/fog/o_haze/# O-HAZY NTIRE 2018/GT/08_outdoor_GT.jpg,test,fog,o_haze
test/09,../raw/fog/o_haze/# O-HAZY NTIRE 2018/hazy/09_outdoor_hazy.jpg,../raw/fog/o_haze/# O-HAZY NTIRE 2018/GT/09_outdoor_GT.jpg,test,fog,o_haze
test/10,../raw/fog/o_haze/# O-HAZY NTIRE 2018/hazy/10_outdoor_hazy.jpg,../raw/fog/o_haze/# O-HAZY NTIRE 2018/GT/10_outdoor_GT.jpg,test,fog,o_haze
test/11,../raw/fog/o_haze/# O-HAZY NTIRE 2018/hazy/11_outdoor_hazy.jpg,../raw/fog/o_haze/# O-HAZY NTIRE 2018/GT/11_outdoor_GT.jpg,test,fog,o_haze
test/12,../raw/fog/o_haze/# O-HAZY NTIRE 2018/hazy/12_outdoor_hazy.jpg,../raw/fog/o_haze/# O-HAZY NTIRE 2018/GT/12_outdoor_GT.jpg,test,fog,o_haze
test/13,../raw/fog/o_haze/# O-HAZY NTIRE 2018/hazy/13_outdoor_hazy.jpg,../raw/fog/o_haze/# O-HAZY NTIRE 2018/GT/13_outdoor_GT.jpg,test,fog,o_haze
test/14,../raw/fog/o_haze/# O-HAZY NTIRE 2018/hazy/14_outdoor_hazy.jpg,../raw/fog/o_haze/# O-HAZY NTIRE 2018/GT/14_outdoor_GT.jpg,test,fog,o_haze
test/15,../raw/fog/o_haze/# O-HAZY NTIRE 2018/hazy/15_outdoor_hazy.jpg,../raw/fog/o_haze/# O-HAZY NTIRE 2018/GT/15_outdoor_GT.jpg,test,fog,o_haze
test/16,../raw/fog/o_haze/# O-HAZY NTIRE 2018/hazy/16_outdoor_hazy.jpg,../raw/fog/o_haze/# O-HAZY NTIRE 2018/GT/16_outdoor_GT.jpg,test,fog,o_haze
test/17,../raw/fog/o_haze/# O-HAZY NTIRE 2018/hazy/17_outdoor_hazy.jpg,../raw/fog/o_haze/# O-HAZY NTIRE 2018/GT/17_outdoor_GT.jpg,test,fog,o_haze
test/18,../raw/fog/o_haze/# O-HAZY NTIRE 2018/hazy/18_outdoor_hazy.jpg,../raw/fog/o_haze/# O-HAZY NTIRE 2018/GT/18_outdoor_GT.jpg,test,fog,o_haze
test/19,../raw/fog/o_haze/# O-HAZY NTIRE 2018/hazy/19_outdoor_hazy.jpg,../raw/fog/o_haze/# O-HAZY NTIRE 2018/GT/19_outdoor_GT.jpg,test,fog,o_haze
test/20,../raw/fog/o_haze/# O-HAZY NTIRE 2018/hazy/20_outdoor_hazy.jpg,../raw/fog/o_haze/# O-HAZY NTIRE 2018/GT/20_outdoor_GT.jpg,test,fog,o_haze
test/21,../raw/fog/o_haze/# O-HAZY NTIRE 2018/hazy/21_outdoor_hazy.JPG,../raw/fog/o_haze/# O-HAZY NTIRE 2018/GT/21_outdoor_GT.JPG,test,fog,o_haze
test/22,../raw/fog/o_haze/# O-HAZY NTIRE 2018/hazy/22_outdoor_hazy.jpg,../raw/fog/o_haze/# O-HAZY NTIRE 2018/GT/22_outdoor_GT.jpg,test,fog,o_haze
test/23,../raw/fog/o_haze/# O-HAZY NTIRE 2018/hazy/23_outdoor_hazy.jpg,../raw/fog/o_haze/# O-HAZY NTIRE 2018/GT/23_outdoor_GT.jpg,test,fog,o_haze
test/24,../raw/fog/o_haze/# O-HAZY NTIRE 2018/hazy/24_outdoor_hazy.jpg,../raw/fog/o_haze/# O-HAZY NTIRE 2018/GT/24_outdoor_GT.jpg,test,fog,o_haze
test/25,../raw/fog/o_haze/# O-HAZY NTIRE 2018/hazy/25_outdoor_hazy.jpg,../raw/fog/o_haze/# O-HAZY NTIRE 2018/GT/25_outdoor_GT.jpg,test,fog,o_haze
test/26,../raw/fog/o_haze/# O-HAZY NTIRE 2018/hazy/26_outdoor_hazy.jpg,../raw/fog/o_haze/# O-HAZY NTIRE 2018/GT/26_outdoor_GT.jpg,test,fog,o_haze
test/27,../raw/fog/o_haze/# O-HAZY NTIRE 2018/hazy/27_outdoor_hazy.jpg,../raw/fog/o_haze/# O-HAZY NTIRE 2018/GT/27_outdoor_GT.jpg,test,fog,o_haze
test/28,../raw/fog/o_haze/# O-HAZY NTIRE 2018/hazy/28_outdoor_hazy.jpg,../raw/fog/o_haze/# O-HAZY NTIRE 2018/GT/28_outdoor_GT.jpg,test,fog,o_haze
test/29,../raw/fog/o_haze/# O-HAZY NTIRE 2018/hazy/29_outdoor_hazy.jpg,../raw/fog/o_haze/# O-HAZY NTIRE 2018/GT/29_outdoor_GT.jpg,test,fog,o_haze
test/30,../raw/fog/o_haze/# O-HAZY NTIRE 2018/hazy/30_outdoor_hazy.jpg,../raw/fog/o_haze/# O-HAZY NTIRE 2018/GT/30_outdoor_GT.jpg,test,fog,o_haze
test/31,../raw/fog/o_haze/# O-HAZY NTIRE 2018/hazy/31_outdoor_hazy.jpg,../raw/fog/o_haze/# O-HAZY NTIRE 2018/GT/31_outdoor_GT.jpg,test,fog,o_haze
test/32,../raw/fog/o_haze/# O-HAZY NTIRE 2018/hazy/32_outdoor_hazy.jpg,../raw/fog/o_haze/# O-HAZY NTIRE 2018/GT/32_outdoor_GT.jpg,test,fog,o_haze
test/33,../raw/fog/o_haze/# O-HAZY NTIRE 2018/hazy/33_outdoor_hazy.jpg,../raw/fog/o_haze/# O-HAZY NTIRE 2018/GT/33_outdoor_GT.jpg,test,fog,o_haze
test/34,../raw/fog/o_haze/# O-HAZY NTIRE 2018/hazy/34_outdoor_hazy.jpg,../raw/fog/o_haze/# O-HAZY NTIRE 2018/GT/34_outdoor_GT.jpg,test,fog,o_haze
test/35,../raw/fog/o_haze/# O-HAZY NTIRE 2018/hazy/35_outdoor_hazy.jpg,../raw/fog/o_haze/# O-HAZY NTIRE 2018/GT/35_outdoor_GT.jpg,test,fog,o_haze
test/36,../raw/fog/o_haze/# O-HAZY NTIRE 2018/hazy/36_outdoor_hazy.jpg,../raw/fog/o_haze/# O-HAZY NTIRE 2018/GT/36_outdoor_GT.jpg,test,fog,o_haze
test/37,../raw/fog/o_haze/# O-HAZY NTIRE 2018/hazy/37_outdoor_hazy.jpg,../raw/fog/o_haze/# O-HAZY NTIRE 2018/GT/37_outdoor_GT.jpg,test,fog,o_haze
test/38,../raw/fog/o_haze/# O-HAZY NTIRE 2018/hazy/38_outdoor_hazy.jpg,../raw/fog/o_haze/# O-HAZY NTIRE 2018/GT/38_outdoor_GT.jpg,test,fog,o_haze
test/39,../raw/fog/o_haze/# O-HAZY NTIRE 2018/hazy/39_outdoor_hazy.jpg,../raw/fog/o_haze/# O-HAZY NTIRE 2018/GT/39_outdoor_GT.jpg,test,fog,o_haze
test/40,../raw/fog/o_haze/# O-HAZY NTIRE 2018/hazy/40_outdoor_hazy.jpg,../raw/fog/o_haze/# O-HAZY NTIRE 2018/GT/40_outdoor_GT.jpg,test,fog,o_haze
test/41,../raw/fog/o_haze/# O-HAZY NTIRE 2018/hazy/41_outdoor_hazy.jpg,../raw/fog/o_haze/# O-HAZY NTIRE 2018/GT/41_outdoor_GT.jpg,test,fog,o_haze
test/42,../raw/fog/o_haze/# O-HAZY NTIRE 2018/hazy/42_outdoor_hazy.jpg,../raw/fog/o_haze/# O-HAZY NTIRE 2018/GT/42_outdoor_GT.jpg,test,fog,o_haze
test/43,../raw/fog/o_haze/# O-HAZY NTIRE 2018/hazy/43_outdoor_hazy.jpg,../raw/fog/o_haze/# O-HAZY NTIRE 2018/GT/43_outdoor_GT.jpg,test,fog,o_haze
test/44,../raw/fog/o_haze/# O-HAZY NTIRE 2018/hazy/44_outdoor_hazy.jpg,../raw/fog/o_haze/# O-HAZY NTIRE 2018/GT/44_outdoor_GT.jpg,test,fog,o_haze
test/45,../raw/fog/o_haze/# O-HAZY NTIRE 2018/hazy/45_outdoor_hazy.jpg,../raw/fog/o_haze/# O-HAZY NTIRE 2018/GT/45_outdoor_GT.jpg,test,fog,o_haze
