sample_id,input_path,target_path,split,weather,source
test/1,../raw/rain/rain100l/Rain100L/input/1.png,../raw/rain/rain100l/Rain100L/target/1.png,test,rain,rain100l
test/10,../raw/rain/rain100l/Rain100L/input/10.png,../raw/rain/rain100l/Rain100L/target/10.png,test,rain,rain100l
test/100,../raw/rain/rain100l/Rain100L/input/100.png,../raw/rain/rain100l/Rain100L/target/100.png,test,rain,rain100l
test/11,../raw/rain/rain100l/Rain100L/input/11.png,../raw/rain/rain100l/Rain100L/target/11.png,test,rain,rain100l
test/12,../raw/rain/rain100l/Rain100L/input/12.png,../raw/rain/rain100l/Rain100L/target/12.png,test,rain,rain100l
test/13,../raw/rain/rain100l/Rain100L/input/13.png,../raw/rain/rain100l/Rain100L/target/13.png,test,rain,rain100l
test/14,../raw/rain/rain100l/Rain100L/input/14.png,../raw/rain/rain100l/Rain100L/target/14.png,test,rain,rain100l
test/15,../raw/rain/rain100l/Rain100L/input/15.png,../raw/rain/rain100l/Rain100L/target/15.png,test,rain,rain100l
test/16,../raw/rain/rain100l/Rain100L/input/16.png,../raw/rain/rain100l/Rain100L/target/16.png,test,rain,rain100l
test/17,../raw/rain/rain100l/Rain100L/input/17.png,../raw/rain/rain100l/Rain100L/target/17.png,test,rain,rain100l
test/18,../raw/rain/rain100l/Rain100L/input/18.png,../raw/rain/rain100l/Rain100L/target/18.png,test,rain,rain100l
test/19,../raw/rain/rain100l/Rain100L/input/19.png,../raw/rain/rain100l/Rain100L/target/19.png,test,rain,rain100l
test/2,../raw/rain/rain100l/Rain100L/input/2.png,../raw/rain/rain100l/Rain100L/target/2.png,test,rain,rain100l
test/20,../raw/rain/rain100l/Rain100L/input/20.png,../raw/rain/rain100l/Rain100L/target/20.png,test,rain,rain100l
test/21,../raw/rain/rain100l/Rain100L/input/21.png,../raw/rain/rain100l/Rain100L/target/21.png,test,rain,rain100l
test/22,../raw/rain/rain100l/Rain100L/input/22.png,../raw/rain/rain100l/Rain100L/target/22.png,test,rain,rain100l
test/23,../raw/rain/rain100l/Rain100L/input/23.png,../raw/rain/rain100l/Rain100L/target/23.png,test,rain,rain100l
test/24,../raw/rain/rain100l/Rain100L/input/24.png,../raw/rain/rain100l/Rain100L/target/24.png,test,rain,rain100l
test/25,../raw/rain/rain100l/Rain100L/input/25.png,../raw/rain/rain100l/Rain100L/target/25.png,test,rain,rain100l
test/26,../raw/rain/rain100l/Rain100L/input/26.png,../raw/rain/rain100l/Rain100L/target/26.png,test,rain,rain100l
test/27,../raw/rain/rain100l/Rain100L/input/27.png,../raw/rain/rain100l/Rain100L/target/27.png,test,rain,rain100l
test/28,../raw/rain/rain100l/Rain100L/input/28.png,../raw/rain/rain100l/Rain100L/target/28.png,test,rain,rain100l
test/29,../raw/rain/rain100l/Rain100L/input/29.png,../raw/rain/rain100l/Rain100L/target/29.png,test,rain,rain100l
test/3,../raw/rain/rain100l/Rain100L/input/3.png,../raw/rain/rain100l/Rain100L/target/3.png,test,rain,rain100l
test/30,../raw/rain/rain100l/Rain100L/input/30.png,../raw/rain/rain100l/Rain100L/target/30.png,test,rain,rain100l
test/31,../raw/rain/rain100l/Rain100L/input/31.png,../raw/rain/rain100l/Rain100L/target/31.png,test,rain,rain100l
test/32,../raw/rain/rain100l/Rain100L/input/32.png,../raw/rain/rain100l/Rain100L/target/32.png,test,rain,rain100l
test/33,../raw/rain/rain100l/Rain100L/input/33.png,../raw/rain/rain100l/Rain100L/target/33.png,test,rain,rain100l
test/34,../raw/rain/rain100l/Rain100L/input/34.png,../raw/rain/rain100l/Rain100L/target/34.png,test,rain,rain100l
test/35,../raw/rain/rain100l/Rain100L/input/35.png,../raw/rain/rain100l/Rain100L/target/35.png,test,rain,rain100l
test/36,../raw/rain/rain100l/Rain100L/input/36.png,../raw/rain/rain100l/Rain100L/target/36.png,test,rain,rain100l
