sample_id,input_path,target_path,split,weather,source
train/1,../raw/rain/realrain1k/RealRain-1k/RealRain-1k-H/train/input/1.png,../raw/rain/realrain1k/RealRain-1k/RealRain-1k-H/train/target/1.png,train,rain,realrain1k_h
train/10,../raw/rain/realrain1k/RealRain-1k/RealRain-1k-H/train/input/10.png,../raw/rain/realrain1k/RealRain-1k/RealRain-1k-H/train/target/10.png,train,rain,realrain1k_h
train/100,../raw/rain/realrain1k/RealRain-1k/RealRain-1k-H/train/input/100.png,../raw/rain/realrain1k/RealRain-1k/RealRain-1k-H/train/target/100.png,train,rain,realrain1k_h
train/1000,../raw/rain/realrain1k/RealRain-1k/RealRain-1k-H/train/input/1000.png,../raw/rain/realrain1k/RealRain-1k/RealRain-1k-H/train/target/1000.png,train,rain,realrain1k_h
train/1001,../raw/rain/realrain1k/RealRain-1k/RealRain-1k-H/train/input/1001.png,../raw/rain/realrain1k/RealRain-1k/RealRain-1k-H/train/target/1001.png,train,rain,realrain1k_h
train/1005,../raw/rain/realrain1k/RealRain-1k/RealRain-1k-H/train/input/1005.png,../raw/rain/realrain1k/RealRain-1k/RealRain-1k-H/train/target/1005.png,train,rain,realrain1k_h
train/1008,../raw/rain/realrain1k/RealRain-1k/RealRain-1k-H/train/input/1008.png,../raw/rain/realrain1k/RealRain-1k/RealRain-1k-H/train/target/1008.png,train,rain,realrain1k_h
train/101,../raw/rain/realrain1k/RealRain-1k/RealRain-1k-H/train/input/101.png,../raw/rain/realrain1k/RealRain-1k/RealRain-1k-H/train/target/101.png,train,rain,realrain1k_h
train/1011,../raw/rain/realrain1k/RealRain-1k/RealRain-1k-H/train/input/1011.png,../raw/rain/realrain1k/RealRain-1k/RealRain-1k-H/train/target/1011.png,train,rain,realrain1k_h
train/1012,../raw/rain/realrain1k/RealRain-1k/RealRain-1k-H/train/input/1012.png,../raw/rain/realrain1k/RealRain-1k/RealRain-1k-H/train/target/1012.png,train,rain,realrain1k_h
train/1017,../raw/rain/realrain1k/RealRain-1k/RealRain-1k-H/train/input/1017.png,../raw/rain/realrain1k/RealRain-1k/RealRain-1k-H/train/target/1017.png,train,rain,realrain1k_h
