sample_id,input_path,target_path,split,weather,source
train/100,../raw/smoke/historical/train/hazy/100.png,../raw/smoke/historical/train/clean/100.png,train,smoke,smoke_historical
train/101,../raw/smoke/historical/train/hazy/101.png,../raw/smoke/historical/train/clean/101.png,train,smoke,smoke_historical
train/102,../raw/smoke/historical/train/hazy/102.png,../raw/smoke/historical/train/clean/102.png,train,smoke,smoke_historical
train/103,../raw/smoke/historical/train/hazy/103.png,../raw/smoke/historical/train/clean/103.png,val,smoke,smoke_historical
train/104,../raw/smoke/historical/train/hazy/104.png,../raw/smoke/historical/train/clean/104.png,train,smoke,smoke_historical
train/105,../raw/smoke/historical/train/hazy/105.png,../raw/smoke/historical/train/clean/105.png,train,smoke,smoke_historical
train/106,../raw/smoke/historical/train/hazy/106.png,../raw/smoke/historical/train/clean/106.png,train,smoke,smoke_historical
train/107,../raw/smoke/historical/train/hazy/107.png,../raw/smoke/historical/train/clean/107.png,train,smoke,smoke_historical
train/108,../raw/smoke/historical/train/hazy/108.png,../raw/smoke/historical/train/clean/108.png,train,smoke,smoke_historical
train/109,../raw/smoke/historical/train/hazy/109.png,../raw/smoke/historical/train/clean/109.png,train,smoke,smoke_historical
train/11,../raw/smoke/historical/train/hazy/11.png,../raw/smoke/historical/train/clean/11.png,train,smoke,smoke_historical
train/110,../raw/smoke/historical/train/hazy/110.png,../raw/smoke/historical/train/clean/110.png,train,smoke,smoke_historical
train/111,../raw/smoke/historical/train/hazy/111.png,../raw/smoke/historical/train/clean/111.png,train,smoke,smoke_historical
train/112,../raw/smoke/historical/train/hazy/112.png,../raw/smoke/historical/train/clean/112.png,train,smoke,smoke_historical
train/113,../raw/smoke/historical/train/hazy/113.png,../raw/smoke/historical/train/clean/113.png,train,smoke,smoke_historical
train/114,../raw/smoke/historical/train/hazy/114.png,../raw/smoke/historical/train/clean/114.png,train,smoke,smoke_historical
train/115,../raw/smoke/historical/train/hazy/115.png,../raw/smoke/historical/train/clean/115.png,train,smoke,smoke_historical
train/116,../raw/smoke/historical/train/hazy/116.png,../raw/smoke/historical/train/clean/116.png,train,smoke,smoke_historical
train/117,../raw/smoke/historical/train/hazy/117.png,../raw/smoke/historical/train/clean/117.png,train,smoke,smoke_historical
train/118,../raw/smoke/historical/train/hazy/118.png,../raw/smoke/historical/train/clean/118.png,train,smoke,smoke_historical
train/119,../raw/smoke/historical/train/hazy/119.png,../raw/smoke/historical/train/clean/119.png,train,smoke,smoke_historical
train/12,../raw/smoke/historical/train/hazy/12.png,../raw/smoke/historical/train/clean/12.png,train,smoke,smoke_historical
train/120,../raw/smoke/historical/train/hazy/120.png,../raw/smoke/historical/train/clean/120.png,train,smoke,smoke_historical
train/13,../raw/smoke/historical/train/hazy/13.png,../raw/smoke/historical/train/clean/13.png,train,smoke,smoke_historical
train/14,../raw/smoke/historical/train/hazy/14.png,../raw/smoke/historical/train/clean/14.png,train,smoke,smoke_historical
train/15,../raw/smoke/historical/train/hazy/15.png,../raw/smoke/historical/train/clean/15.png,train,smoke,smoke_historical
train/16,../raw/smoke/historical/train/hazy/16.png,../raw/smoke/historical/train/clean/16.png,train,smoke,smoke_historical
train/17,../raw/smoke/historical/train/hazy/17.png,../raw/smoke/historical/train/clean/17.png,train,smoke,smoke_historical
train/18,../raw/smoke/historical/train/hazy/18.png,../raw/smoke/historical/train/clean/18.png,train,smoke,smoke_historical
train/19,../raw/smoke/historical/train/hazy/19.png,../raw/smoke/historical/train/clean/19.png,train,smoke,smoke_historical
train/20,../raw/smoke/historical/train/hazy/20.png,../raw/smoke/historical/train/clean/20.png,train,smoke,smoke_historical
train/21,../raw/smoke/historical/train/hazy/21.png,../raw/smoke/historical/train/clean/21.png,train,smoke,smoke_historical
train/22,../raw/smoke/historical/train/hazy/22.png,../raw/smoke/historical/train/clean/22.png,train,smoke,smoke_historical
train/23,../raw/smoke/historical/train/hazy/23.png,../raw/smoke/historical/train/clean/23.png,val,smoke,smoke_historical
train/24,../raw/smoke/historical/train/hazy/24.png,../raw/smoke/historical/train/clean/24.png,train,smoke,smoke_historical
train/25,../raw/smoke/historical/train/hazy/25.png,../raw/smoke/historical/train/clean/25.png,train,smoke,smoke_historical
train/26,../raw/smoke/historical/train/hazy/26.png,../raw/smoke/historical/train/clean/26.png,train,smoke,smoke_historical
