sample_id,input_path,target_path,split,weather,source
train/1,../raw/smoke/smokebench/dataset_version2/Train/LQ/1.jpg,../raw/smoke/smokebench/dataset_version2/Train/GT/1.jpg,train,smoke,smokebench_v2
train/10,../raw/smoke/smokebench/dataset_version2/Train/LQ/10.jpg,../raw/smoke/smokebench/dataset_version2/Train/GT/10.jpg,train,smoke,smokebench_v2
train/100,../raw/smoke/smokebench/dataset_version2/Train/LQ/100.jpg,../raw/smoke/smokebench/dataset_version2/Train/GT/100.jpg,val,smoke,smokebench_v2
train/1000,../raw/smoke/smokebench/dataset_version2/Train/LQ/1000.jpg,../raw/smoke/smokebench/dataset_version2/Train/GT/1000.jpg,train,smoke,smokebench_v2
train/1001,../raw/smoke/smokebench/dataset_version2/Train/LQ/1001.jpg,../raw/smoke/smokebench/dataset_version2/Train/GT/1001.jpg,train,smoke,smokebench_v2
train/1002,../raw/smoke/smokebench/dataset_version2/Train/LQ/1002.jpg,../raw/smoke/smokebench/dataset_version2/Train/GT/1002.jpg,train,smoke,smokebench_v2
train/1003,../raw/smoke/smokebench/dataset_version2/Train/LQ/1003.jpg,../raw/smoke/smokebench/dataset_version2/Train/GT/1003.jpg,train,smoke,smokebench_v2
train/1004,../raw/smoke/smokebench/dataset_version2/Train/LQ/1004.jpg,../raw/smoke/smokebench/dataset_version2/Train/GT/1004.jpg,train,smoke,smokebench_v2
train/1005,../raw/smoke/smokebench/dataset_version2/Train/LQ/1005.jpg,../raw/smoke/smokebench/dataset_version2/Train/GT/1005.jpg,train,smoke,smokebench_v2
train/1006,../raw/smoke/smokebench/dataset_version2/Train/LQ/1006.jpg,../raw/smoke/smokebench/dataset_version2/Train/GT/1006.jpg,train,smoke,smokebench_v2
train/1007,../raw/smoke/smokebench/dataset_version2/Train/LQ/1007.jpg,../raw/smoke/smokebench/dataset_version2/Train/GT/1007.jpg,train,smoke,smokebench_v2
train/1008,../raw/smoke/smokebench/dataset_version2/Train/LQ/1008.jpg,../raw/smoke/smokebench/dataset_version2/Train/GT/1008.jpg,train,smoke,smokebench_v2
train/1009,../raw/smoke/smokebench/dataset_version2/Train/LQ/1009.jpg,../raw/smoke/smokebench/dataset_version2/Train/GT/1009.jpg,train,smoke,smokebench_v2
train/101,../raw/smoke/smokebench/dataset_version2/Train/LQ/101.jpg,../raw/smoke/smokebench/dataset_version2/Train/GT/101.jpg,train,smoke,smokebench_v2
train/1010,../raw/smoke/smokebench/dataset_version2/Train/LQ/1010.jpg,../raw/smoke/smokebench/dataset_version2/Train/GT/1010.jpg,val,smoke,smokebench_v2
train/1011,../raw/smoke/smokebench/dataset_version2/Train/LQ/1011.jpg,../raw/smoke/smokebench/dataset_version2/Train/GT/1011.jpg,train,smoke,smokebench_v2
train/1012,../raw/smoke/smokebench/dataset_version2/Train/LQ/1012.jpg,../raw/smoke/smokebench/dataset_version2/Train/GT/1012.jpg,train,smoke,smokebench_v2
train/1013,../raw/smoke/smokebench/dataset_version2/Train/LQ/1013.jpg,../raw/smoke/smokebench/dataset_version2/Train/GT/1013.jpg,train,smoke,smokebench_v2
