sample_id,input_path,target_path,split,weather,source
train/cityscape-1,../raw/snow/snow_cityscapes/Cityscape-Dataset/train/synthetic/cityscape-1.png,../raw/snow/snow_cityscapes/Cityscape-Dataset/train/gt/cityscape-1.png,train,snow,snow_cityscapes
train/cityscape-10,../raw/snow/snow_cityscapes/Cityscape-Dataset/train/synthetic/cityscape-10.png,../raw/snow/snow_cityscapes/Cityscape-Dataset/train/gt/cityscape-10.png,train,snow,snow_cityscapes
train/cityscape-100,../raw/snow/snow_cityscapes/Cityscape-Dataset/train/synthetic/cityscape-100.png,../raw/snow/snow_cityscapes/Cityscape-Dataset/train/gt/cityscape-100.png,train,snow,snow_cityscapes
train/cityscape-1000,../raw/snow/snow_cityscapes/Cityscape-Dataset/train/synthetic/cityscape-1000.png,../raw/snow/snow_cityscapes/Cityscape-Dataset/train/gt/cityscape-1000.png,train,snow,snow_cityscapes
train/cityscape-1001,../raw/snow/snow_cityscapes/Cityscape-Dataset/train/synthetic/cityscape-1001.png,../raw/snow/snow_cityscapes/Cityscape-Dataset/train/gt/cityscape-1001.png,train,snow,snow_cityscapes
train/cityscape-1002,../raw/snow/snow_cityscapes/Cityscape-Dataset/train/synthetic/cityscape-1002.png,../raw/snow/snow_cityscapes/Cityscape-Dataset/train/gt/cityscape-1002.png,train,snow,snow_cityscapes
train/cityscape-1003,../raw/snow/snow_cityscapes/Cityscape-Dataset/train/synthetic/cityscape-1003.png,../raw/snow/snow_cityscapes/Cityscape-Dataset/train/gt/cityscape-1003.png,val,snow,snow_cityscapes
train/cityscape-1004,../raw/snow/snow_cityscapes/Cityscape-Dataset/train/synthetic/cityscape-1004.png,../raw/snow/snow_cityscapes/Cityscape-Dataset/train/gt/cityscape-1004.png,train,snow,snow_cityscapes
train/cityscape-1005,../raw/snow/snow_cityscapes/Cityscape-Dataset/train/synthetic/cityscape-1005.png,../raw/snow/snow_cityscapes/Cityscape-Dataset/train/gt/cityscape-1005.png,train,snow,snow_cityscapes
train/cityscape-1006,../raw/snow/snow_cityscapes/Cityscape-Dataset/train/synthetic/cityscape-1006.png,../raw/snow/snow_cityscapes/Cityscape-Dataset/train/gt/cityscape-1006.png,train,snow,snow_cityscapes
train/cityscape-1007,../raw/snow/snow_cityscapes/Cityscape-Dataset/train/synthetic/cityscape-1007.png,../raw/snow/snow_cityscapes/Cityscape-Dataset/train/gt/cityscape-1007.png,train,snow,snow_cityscapes
train/cityscape-1008,../raw/snow/snow_cityscapes/Cityscape-Dataset/train/synthetic/cityscape-1008.png,../raw/snow/snow_cityscapes/Cityscape-Dataset/train/gt/cityscape-1008.png,train,snow,snow_cityscapes
train/cityscape-1009,../raw/snow/snow_cityscapes/Cityscape-Dataset/train/synthetic/cityscape-1009.png,../raw/snow/snow_cityscapes/Cityscape-Dataset/train/gt/cityscape-1009.png,train,snow,snow_cityscapes
train/cityscape-101,../raw/snow/snow_cityscapes/Cityscape-Dataset/train/synthetic/cityscape-101.png,../raw/snow/snow_cityscapes/Cityscape-Dataset/train/gt/cityscape-101.png,val,snow,snow_cityscapes
train/cityscape-1010,../raw/snow/snow_cityscapes/Cityscape-Dataset/train/synthetic/cityscape-1010.png,../raw/snow/snow_cityscapes/Cityscape-Dataset/train/gt/cityscape-1010.png,train,snow,snow_cityscapes
train/cityscape-1011,../raw/snow/snow_cityscapes/Cityscape-Dataset/train/synthetic/cityscape-1011.png,../raw/snow/snow_cityscapes/Cityscape-Dataset/train/gt/cityscape-1011.png,train,snow,snow_cityscapes
train/cityscape-1012,../raw/snow/snow_cityscapes/Cityscape-Dataset/train/synthetic/cityscape-1012.png,../raw/snow/snow_cityscapes/Cityscape-Dataset/train/gt/cityscape-1012.png,train,snow,snow_cityscapes
train/cityscape-1013,../raw/snow/snow_cityscapes/Cityscape-Dataset/train/synthetic/cityscape-1013.png,../raw/snow/snow_cityscapes/Cityscape-Dataset/train/gt/cityscape-1013.png,train,snow,snow_cityscapes
train/cityscape-1014,../raw/snow/snow_cityscapes/Cityscape-Dataset/train/synthetic/cityscape-1014.png,../raw/snow/snow_cityscapes/Cityscape-Dataset/train/gt/cityscape-1014.png,train,snow,snow_cityscapes
train/cityscape-1015,../raw/snow/snow_cityscapes/Cityscape-Dataset/train/synthetic/cityscape-1015.png,../raw/snow/snow_cityscapes/Cityscape-Dataset/train/gt/cityscape-1015.png,train,snow,snow_cityscapes
train/cityscape-1016,../raw/snow/snow_cityscapes/Cityscape-Dataset/train/synthetic/cityscape-1016.png,../raw/snow/snow_cityscapes/Cityscape-Dataset/train/gt/cityscape-1016.png,train,snow,snow_cityscapes
train/cityscape-1017,../raw/snow/snow_cityscapes/Cityscape-Dataset/train/synthetic/cityscape-1017.png,../raw/snow/snow_cityscapes/Cityscape-Dataset/train/gt/cityscape-1017.png,train,snow,snow_cityscapes
train/cityscape-1018,../raw/snow/snow_cityscapes/Cityscape-Dataset/train/synthetic/cityscape-1018.png,../raw/snow/snow_cityscapes/Cityscape-Dataset/train/gt/cityscape-1018.png,train,snow,snow_cityscapes
train/cityscape-1019,../raw/snow/snow_cityscapes/Cityscape-Dataset/train/synthetic/cityscape-1019.png,../raw/snow/snow_cityscapes/Cityscape-Dataset/train/gt/cityscape-1019.png,train,snow,snow_cityscapes
train/cityscape-102,../raw/snow/snow_cityscapes/Cityscape-Dataset/train/synthetic/cityscape-102.png,../raw/snow/snow_cityscapes/Cityscape-Dataset/train/gt/cityscape-102.png,val,snow,snow_cityscapes
train/cityscape-1020,../raw/snow/snow_cityscapes/Cityscape-Dataset/train/synthetic/cityscape-1020.png,../raw/snow/snow_cityscapes/Cityscape-Dataset/train/gt/cityscape-1020.png,val,snow,snow_cityscapes
train/cityscape-1021,../raw/snow/snow_cityscapes/Cityscape-Dataset/train/synthetic/cityscape-1021.png,../raw/snow/snow_cityscapes/Cityscape-Dataset/train/gt/cityscape-1021.png,train,snow,snow_cityscapes
train/cityscape-1022,../raw/snow/snow_cityscapes/Cityscape-Dataset/train/synthetic/cityscape-1022.png,../raw/snow/snow_cityscapes/Cityscape-Dataset/train/gt/cityscape-1022.png,train,snow,snow_cityscapes
train/cityscape-1023,../raw/snow/snow_cityscapes/Cityscape-Dataset/train/synthetic/cityscape-1023.png,../raw/snow/snow_cityscapes/Cityscape-Dataset/train/gt/cityscape-1023.png,train,snow,snow_cityscapes
train/cityscape-1024,../raw/snow/snow_cityscapes/Cityscape-Dataset/train/synthetic/cityscape-1024.png,../raw/snow/snow_cityscapes/Cityscape-Dataset/train/gt/cityscape-1024.png,train,snow,snow_cityscapes
train/cityscape-1025,../raw/snow/snow_cityscapes/Cityscape-Dataset/train/synthetic/cityscape-1025.png,../raw/snow/snow_cityscapes/Cityscape-Dataset/train/gt/cityscape-1025.png,train,snow,snow_cityscapes
train/cityscape-1026,../raw/snow/snow_cityscapes/Cityscape-Dataset/train/synthetic/cityscape-1026.png,../raw/snow/snow_cityscapes/Cityscape-Dataset/train/gt/cityscape-1026.png,val,snow,snow_cityscapes
train/cityscape-1027,../raw/snow/snow_cityscapes/Cityscape-Dataset/train/synthetic/cityscape-1027.png,../raw/snow/snow_cityscapes/Cityscape-Dataset/train/gt/cityscape-1027.png,train,snow,snow_cityscapes
train/cityscape-1028,../raw/snow/snow_cityscapes/Cityscape-Dataset/train/synthetic/cityscape-1028.png,../raw/snow/snow_cityscapes/Cityscape-Dataset/train/gt/cityscape-1028.png,train,snow,snow_cityscapes
train/cityscape-1029,../raw/snow/snow_cityscapes/Cityscape-Dataset/train/synthetic/cityscape-1029.png,../raw/snow/snow_cityscapes/Cityscape-Dataset/train/gt/cityscape-1029.png,val,snow,snow_cityscapes
train/cityscape-103,../raw/snow/snow_cityscapes/Cityscape-Dataset/train/synthetic/cityscape-103.png,../raw/snow/snow_cityscapes/Cityscape-Dataset/train/gt/cityscape-103.png,train,snow,snow_cityscapes
train/cityscape-1030,../raw/snow/snow_cityscapes/Cityscape-Dataset/train/synthetic/cityscape-1030.png,../raw/snow/snow_cityscapes/Cityscape-Dataset/train/gt/cityscape-1030.png,val,snow,snow_cityscapes
train/cityscape-1031,../raw/snow/snow_cityscapes/Cityscape-Dataset/train/synthetic/cityscape-1031.png,../raw/snow/snow_cityscapes/Cityscape-Dataset/train/gt/cityscape-1031.png,train,snow,snow_cityscapes
train/cityscape-1032,../raw/snow/snow_cityscapes/Cityscape-Dataset/train/synthetic/cityscape-1032.png,../raw/snow/snow_cityscapes/Cityscape-Dataset/train/gt/cityscape-1032.png,train,snow,snow_cityscapes
train/cityscape-1033,../raw/snow/snow_cityscapes/Cityscape-Dataset/train/synthetic/cityscape-1033.png,../raw/snow/snow_cityscapes/Cityscape-Dataset/train/gt/cityscape-1033.png,train,snow,snow_cityscapes
train/cityscape-1034,../raw/snow/snow_cityscapes/Cityscape-Dataset/train/synthetic/cityscape-1034.png,../raw/snow/snow_cityscapes/Cityscape-Dataset/train/gt/cityscape-1034.png,train,snow,snow_cityscapes
train/cityscape-1035,../raw/snow/snow_cityscapes/Cityscape-Dataset/train/synthetic/cityscape-1035.png,../raw/snow/snow_cityscapes/Cityscape-Dataset/train/gt/cityscape-1035.png,train,snow,snow_cityscapes
train/cityscape-1036,../raw/snow/snow_cityscapes/Cityscape-Dataset/train/synthetic/cityscape-1036.png,../raw/snow/snow_cityscapes/Cityscape-Dataset/train/gt/cityscape-1036.png,train,snow,snow_cityscapes
train/cityscape-1037,../raw/snow/snow_cityscapes/Cityscape-Dataset/train/synthetic/cityscape-1037.png,../raw/snow/snow_cityscapes/Cityscape-Dataset/train/gt/cityscape-1037.png,val,snow,snow_cityscapes
